"species","Class","Order","exFemale","exFemaleSD","exFemaleLower","exFemaleUpper","exMale","exMaleSD","exMaleLower","exMaleUpper","exDiff","exDiffSD","exDiffLower","exDiffUpper","zeroOverlap"
"Panthera uncia","Mammalia","Carnivora",9.99225626426762,0.254388808415644,9.49470992992421,10.5052558510506,9.51628465793501,0.233967335312805,9.05762209221949,9.93698550331382,0.0470252756474671,0.034130287279375,-0.0171996626338451,0.114689915478276,0.168259926078694
"Arctictis binturong","Mammalia","Carnivora",13.0084431844928,0.391761961931171,12.2541130124342,13.7487970595042,14.6418890951879,0.399422236504456,13.8838060563834,15.3870035223526,-0.110879600034893,0.0365703723312279,-0.186629122479498,-0.039424246320874,0.00242978135249006
"Paradoxurus hermaphroditus","Mammalia","Carnivora",9.94144773954518,0.655482446456937,8.60868513453591,11.2874853209728,7.49508337393872,0.591846381560809,6.36200651787641,8.73866894355051,0.243072966394816,0.0751073238952016,0.0869657418901544,0.381751755896948,0.00121072346592891
"Oryx dammah","Mammalia","Artiodactyla",10.2958510068906,0.12450412659072,10.0396140438433,10.5464063598659,7.19342061123621,0.130240319730858,6.92602620430701,7.44289090852422,0.301231611339074,0.0149345764288965,0.273809106828828,0.331052284095632,1.79345954654861e-90
"Eulemur fulvus","Mammalia","Primates",18.2867082543083,0.904790439554874,16.5843656925438,20.1398447919959,17.2494227970221,0.921404503921986,15.5889256359675,19.2978412866587,0.0550184826156304,0.0686676992223548,-0.0896535799918722,0.181539882056132,0.42299967013196
"Oryx gazella","Mammalia","Artiodactyla",7.73889547017138,0.202388915292345,7.34547114269403,8.13238136665747,5.67232381137529,0.200980159623885,5.31167830420632,6.08138401366968,0.266555326732631,0.0318265189727607,0.198187000055247,0.327070525268611,5.51027408808293e-17
"Vulpes vulpes","Mammalia","Carnivora",7.83915958975019,0.246482198260679,7.37131419308341,8.35485101440312,6.90614197123849,0.226154469996134,6.39922568899598,7.36560204767622,0.118136576700581,0.0403388617210769,0.0352963625374509,0.19481352629082,0.00340487228976843
"Capra sibirica","Mammalia","Artiodactyla",6.04459346415327,0.232479142628157,5.56599894481072,6.44957966696576,4.79625457622106,0.216527106638855,4.37666706575146,5.20736343237958,0.205431889454173,0.0456814794288018,0.114840311086558,0.294970132446528,6.89028430348634e-06
"Eulemur coronatus","Mammalia","Primates",14.641793056022,0.869009486185824,12.9038323757378,16.369097456824,13.9050901708336,0.679354648268816,12.5206385644542,15.1922567590551,0.0478077467081726,0.0741266099895237,-0.102951378240926,0.181405195618369,0.518961427687131
"Vulpes zerda","Mammalia","Carnivora",7.26905189389898,0.204943607876246,6.87044559504228,7.65895929983736,7.63827184882088,0.202832873001111,7.24509765005998,8.00323157706839,-0.0477528206798737,0.0362571355013818,-0.115908450983032,0.0284814992660821,0.187818533887787
"Helarctos malayanus","Mammalia","Carnivora",23.6504287578136,0.988731348885822,21.5222291687493,25.5782430768769,20.782687405588,1.50039660481813,17.6086777391779,23.6413373077654,0.119931676661398,0.0720865687518055,-0.0330720046830947,0.261848288850219,0.0961689231538367
"Macropus fuliginosus","Mammalia","Diprotodontia",8.30411051160467,0.236917705869143,7.85460524850392,8.74388352798254,6.05340473516843,0.199782094483058,5.62681807187026,6.44981682624549,0.270486102075072,0.030799162320242,0.208729409368308,0.328285819554808,1.60229092959057e-18
"Erethizon dorsatum","Mammalia","Rodentia",5.75698369563677,0.233547696959778,5.31268850826968,6.22874889448342,6.21301479385289,0.280875304973017,5.73533590901891,6.74271107216885,-0.0716852210234797,0.0555029064775527,-0.178500391531404,0.0430365993003271,0.196510268570352
"Dama dama","Mammalia","Artiodactyla",9.95704895488044,0.116284907266468,9.72884776426912,10.1891490251573,6.60430557568078,0.146646330115229,6.35135050718678,6.88325046797726,0.336631970110238,0.016553123012257,0.303795766459041,0.367429791204564,6.11875667651567e-92
"Mustela putorius","Mammalia","Carnivora",5.73238385647883,0.0812764310805592,5.56027301575334,5.87924384049151,5.21324305556464,0.074113926709783,5.05784911313905,5.35616427570392,0.0903835876829447,0.0180975378514699,0.0540444040835826,0.12660802049145,5.90655354962615e-07
"Neovison vison","Mammalia","Carnivora",5.08835351534392,0.465566583040923,4.30156635070137,6.09534278809798,5.15850792508849,0.423842391631324,4.33274850015695,6.01144264625283,-0.0133340721204037,0.108076256397098,-0.22880164280983,0.196193583268982,0.901808951446683
"Taxidea taxus","Mammalia","Carnivora",12.7159481604423,1.00692477994836,10.7109043458839,14.6204273472246,10.8045771968581,1.19870255960169,8.43971440005552,13.0248903572927,0.145065548739804,0.120135474410747,-0.0949560513765877,0.373886468493969,0.227233354961011
"Mephitis mephitis","Mammalia","Carnivora",5.50097704575633,0.145976454562969,5.21117108833493,5.80098788749165,5.25342539887721,0.138969468189408,4.98733947782479,5.54764633311012,0.044423869400626,0.0343023364943519,-0.0222332299904557,0.111456139342667,0.195296661262896
"Saguinus oedipus","Mammalia","Primates",8.22686572345662,0.14655044423662,7.92730016704564,8.50453532835334,8.50707537738531,0.135279428114283,8.24494388630787,8.79108692960603,-0.0327072165524145,0.0231036633268587,-0.0787516385543441,0.0139510888024701,0.156871467653661
"Tragelaphus oryx","Mammalia","Artiodactyla",9.33389391250504,0.116115019620912,9.1105319100399,9.57602670798746,6.48709491078829,0.118029074446132,6.26175601400454,6.73373854644106,0.304894200973802,0.0150627815309569,0.272300244042908,0.333634411970156,4.21608121752751e-91
"Tragelaphus angasii","Mammalia","Artiodactyla",6.51899052942208,0.132855928576039,6.27795369878023,6.77684592237793,3.92713914506969,0.103851951264681,3.71816346113333,4.13866382813204,0.397345338608611,0.0198032114329368,0.361360516700934,0.434683919616576,1.50218162974316e-89
"Macropus agilis","Mammalia","Diprotodontia",6.92054549422306,0.413190578298916,6.21821973440735,7.78533089291867,4.19129802931545,0.247003956366951,3.72013846946178,4.68598029333755,0.392168248294244,0.0517522095052337,0.287062442462946,0.482593957862485,3.51445049640188e-14
