"species","Order","Class","exDiff","FemaleBM","MaleBM","Testes","FemaleAFB","MaleAFB","Monogamy","AnnProd","FemaleCare","DichroAves","weights"
"Carduelis flammea","Passeriformes","Aves",0.00430422369809046,12.9,12.5,0.28,0.997218344,0.999315537,1,12.25,1,0.6,0.40116345893928
"Acryllium vulturinum","Galliformes","Aves",-0.156764981280204,1523.03368519358,1731.53423963827,NA,1.36043805612594,1.56878850102669,1,NA,1,0,0.738875427290742
"Actophilornis africanus","Charadriiformes","Aves",0.120438886218706,260.219091053364,147.556401592862,NA,NA,NA,0,NA,0,0,0.490022234775133
"Aegolius funereus","Strigiformes","Aves",0.119106669812762,117.683810551672,109.197156618462,1.28,2.90485968514716,1.86064339493498,0,63.798,1,0,0.518641216462318
"Afropavo congensis","Galliformes","Aves",-0.119942007751121,1234.71461061677,1566.33877030607,NA,1.81984941820671,1.97563312799452,1,NA,0,0.2,0.631689413190534
"Agapornis canus","Psittaciformes","Aves",-0.235347788386616,30.1747049456735,31.3544510812942,NA,0.624229979466119,0.720602327173169,NA,NA,NA,0.2,0.53284654883818
"Agapornis nigrigenis","Psittaciformes","Aves",0.0525216747739622,46.5414018269681,41.7181227720711,NA,0.851471594798084,0.843258042436687,NA,NA,NA,0,0.702859371291619
"Agapornis personatus","Psittaciformes","Aves",-0.0851729667041844,52.2866928596657,48.0264401286621,NA,1.13648186173854,0.908692676249144,1,NA,NA,0,0.604596688322789
"Agapornis taranta","Psittaciformes","Aves",-0.0384094454743768,56,59,NA,0.967282683093771,1.32128678986995,NA,NA,NA,0.4,0.49953864760515
"Aix galericulata","Anseriformes","Aves",-0.0723734853562699,530.206784681295,556.413620890947,NA,0.992470910335387,0.982888432580424,1,430.5,1,1.4,0.897830397355315
"Aix sponsa","Anseriformes","Aves",-0.08889477760958,562.837897458319,606.11163098457,0.98,0.999315537,0.999315537,1,778.8,1,1.4,0.835078444254436
"Alectoris chukar","Galliformes","Aves",-0.224028315251689,530.791283267015,624.617642283282,2.82,0.747433264887064,0.926762491444216,1,379.595362246875,1,0,0.614115336944207
"Alectoris graeca","Galliformes","Aves",-0.148257814321411,530,650,2.8,0.92539356605065,0.989459274469542,1,325.0021844949,1,0,0.531005841473341
"Alectoris rufa","Galliformes","Aves",-0.225624533611534,466.5,516,7.25,0.99512115,NA,0,361.7763807312,0,0,0.452534280642958
"Alisterus amboinensis","Psittaciformes","Aves",0.194975311960303,166.379251713406,NA,NA,NA,NA,NA,NA,NA,0,0.416724384841473
"Gallicolumba jobiensis","Columbiformes","Aves",-0.0984588887384048,135.778581506699,154.021615402812,NA,NA,NA,NA,NA,NA,0,0.504939182175981
"Alopochen aegyptiaca","Anseriformes","Aves",0.00782997158170153,2101.25927596545,2615.60694310893,NA,2.05776865160849,2.00355920602327,1,822.984375,1,0,0.708351064529187
"Amadina fasciata","Passeriformes","Aves",0.0742449464821784,18.3236698525768,18.0561069532119,NA,NA,NA,1,16,0,0.8,0.555539698387992
"Amandava amandava","Passeriformes","Aves",-0.0205611372876423,8.59324443960396,8.8216027264667,0.08,NA,NA,1,NA,1,1.6,0.494392524192459
"Amandava subflava","Passeriformes","Aves",-0.191270878703005,6.93059183154321,6.82919470194099,NA,NA,NA,1,NA,0,0.8,0.598747267116462
"Amazilia amazilia","Apodiformes","Aves",0.146583904879302,3.8,3.9,NA,0.960985626283368,NA,NA,NA,1,0,0.526040439760669
"Amazona autumnalis","Psittaciformes","Aves",0.0177889639787435,315.056346063238,356.344357564983,NA,3.28323066392882,5.67830253251198,NA,NA,NA,0,0.534931796003364
"Amazona viridigenalis","Psittaciformes","Aves",-0.00757046742640002,317.835111113941,364.269607498253,NA,4.14811772758385,3.36208076659822,1,NA,1,0.2,0.574895343404343
"Amazonetta brasiliensis","Anseriformes","Aves",-0.109499376677085,442.81632466377,467.714242587998,NA,1.26789869952088,1.13483915126626,1,NA,1,-0.2,0.655967901081309
"Amblyramphus holosericeus","Passeriformes","Aves",0.258695953462572,53,62.5,NA,NA,NA,1,NA,NA,0,0.466781053111329
"Ampeliceps coronatus","Passeriformes","Aves",-0.0679974293878758,76.1132026391795,78.7304285134247,NA,1.01848049281314,0.989185489390828,1,NA,NA,0.2,0.538765899915861
"Anas acuta","Anseriformes","Aves",-0.114746577087242,696.552636374546,820.074401946262,9.48,1.01300479123888,1.02313483915127,1,346.5,1,1.2,0.806340205535544
"Anas bahamensis","Anseriformes","Aves",0.00685231354635645,483.264770113571,547.307245963609,NA,1.06365503080082,1.10171115674196,1,273.7,NA,0,0.684018645312772
"Anas bernieri","Anseriformes","Aves",-0.0841988229692933,343.693607485474,365.124018258934,NA,1.06666666666667,1.01930184804928,1,216,NA,0,0.694931910111406
"Anas capensis","Anseriformes","Aves",-0.106769047448943,384.602981778605,403.622274359003,NA,1.71498973305955,1.57371663244353,1,420.0557103,1,0,0.724548964321934
"Anas castanea","Anseriformes","Aves",-0.111989399964047,475.356171377313,523.948849252065,2.27,1.23203285420945,1.13593429158111,1,380,0,1.2,0.728356227751306
"Anas crecca","Anseriformes","Aves",0.00259444684010729,277.490010626255,309.499795980489,3.92,1.08281998631075,1.08364134154689,1,251.75,1,1.2,0.661207887610611
"Anas erythrorhyncha","Anseriformes","Aves",0.0843885392852842,440.286296456434,483.188745571407,NA,2.44216290212183,2.14209445585216,1,351,1,0,0.603613004413568
"Anas laysanensis","Anseriformes","Aves",-0.181141542373038,466.756216770816,471.022369828394,NA,0.997125256673511,1.00369609856263,1,NA,1,0,0.741320652129888
"Anas luzonica","Anseriformes","Aves",-0.0659891853784007,746.796038910604,911.943245873032,NA,1.07652292950034,1.22819986310746,NA,NA,1,0,0.609777018478463
"Anas melleri","Anseriformes","Aves",-0.0828341032122883,935.063926776576,1061.92235684364,NA,0.991101984941821,1.02505133470226,1,360,1,0,0.607877014827688
"Anas poecilorhyncha","Anseriformes","Aves",-0.0509438419860737,856.750372832933,1085.96206007176,NA,1.08966461327858,1.35578370978782,NA,456,0,0.2,0.606406275788121
"Anas sparsa","Anseriformes","Aves",-0.118127842872367,859.714796722531,1007.60320820232,NA,NA,NA,1,425.9823529707,NA,0,0.569249445990105
"Anas superciliosa","Anseriformes","Aves",0.0886646121837835,865.3333333,1059,7.4839553815,NA,1.20355920602327,1,569.333333331,1,0,0.512750117873437
"Anas undulata","Anseriformes","Aves",-0.0928147787608027,797.392181930198,917.614685722218,NA,1.12416153319644,1.19835728952772,1,434.5,1,0,0.646646323714853
"Anodorhynchus hyacinthinus","Psittaciformes","Aves",-0.0411071134261373,1333.93966296473,1375.76307107132,NA,6.31211498973306,6.31211498973306,NA,NA,NA,0,0.698558771515585
"Anser albifrons","Anseriformes","Aves",0.0275485001268143,2275.5,2387.5,0.81,4.32717316906229,3.93593429158111,1,687.5,1,0,0.623095652905708
"Anser anser","Anseriformes","Aves",-0.0325003483545332,5505.58235023341,5968.85185817646,4,1.62683093771389,1.12060232717317,1,800,1,0,0.685292445058269
"Chen caerulescens","Anseriformes","Aves",-0.0280845210577277,2399.7541020222,2665.30519087532,17.48,2.75537303216975,2.93497604380561,1,533.4,1,0,0.669645653172594
"Chen canagica","Anseriformes","Aves",-0.071240223721859,2501.56276863732,2760.31582656506,NA,1.67282683093771,2.44928131416838,1,594,1,0.2,0.668846885163508
"Anser cygnoides","Anseriformes","Aves",0.000137896668551562,3445.78560068073,4137.10587920334,NA,2.66721423682409,1.64818617385352,NA,NA,NA,0,0.717233500298965
"Anser erythropus","Anseriformes","Aves",-0.0779508971849449,1580.90569658504,1738.55781084116,NA,2.97878165639973,2.09609856262834,1,500,1,0,0.683167460235525
"Anser fabalis","Anseriformes","Aves",-0.088085655405736,2735.25,3112.75,NA,2.991655031,2.997946612,1,730,1,0,0.539283142418794
"Anser indicus","Anseriformes","Aves",0.0107012866060583,2269.10698067106,2571.9965973693,NA,3.00506502395619,2.04517453798768,1,705,0,0,0.751835275783901
"Chen rossii","Anseriformes","Aves",-0.0671804905922281,1323.65500795291,1474.76666021248,NA,2.71622176591376,1.01629021218344,1,368,1,0,0.631467162763764
"Anseranas semipalmata","Anseriformes","Aves",0.0505465114707112,2013.93596598068,2509.8631639182,NA,2.9347022587269,2.64366872005476,0,1024,0,0,0.631012126096296
"Xanthomyza phrygia","Passeriformes","Aves",-0.0071646090973958,40.2706630154896,45.6640562626034,NA,0.960985626283368,1.05845311430527,NA,NA,1,0,0.584250777795489
"Grus paradisea","Gruiformes","Aves",0.215548586295431,4077.57291198698,4877.11898097088,NA,4.11498973305955,3.96878850102669,NA,370,NA,0,0.62778588654765
"Grus virgo","Gruiformes","Aves",-0.0166885889019219,2134.8907394092,2473.28010075082,NA,3.04120465434634,3.11731690622861,1,256,1,0,0.652975775358516
"Aplonis metallica","Passeriformes","Aves",-0.0131344671448458,55.5676688537818,60.4085520710527,0.57,0.922381930184805,0.941820670773443,1,NA,0,0,0.6663963444355
"Aprosmictus erythropterus","Psittaciformes","Aves",-0.250363137183322,149.965752490459,143.607634424019,NA,1.9902423,NA,1,NA,0,0.6,0.554442024439975
"Aptenodytes patagonicus","Sphenisciformes","Aves",-0.0953840735023887,12666.3465180184,14093.3413813041,NA,3.20876112251882,3.87132101300479,1,214.2,1,0,0.742894727727142
"Ara ararauna","Psittaciformes","Aves",-0.0769277416880162,999.663030584403,1079.53182339033,NA,3.49349760438056,3.82203969883641,NA,NA,NA,0,0.800920932954833
"Ara chloropterus","Psittaciformes","Aves",-0.0589021065723745,1166.01272695603,1181.47891722014,NA,5.80369609856263,5.84832306639288,NA,NA,NA,0,0.752006680617376
"Ara macao","Psittaciformes","Aves",-0.0149366503117479,996.275860100351,1057.39832122248,NA,5.19972621492129,5.15537303216975,NA,NA,NA,0,0.719947795615945
"Ara severus","Psittaciformes","Aves",-0.124748057023197,377.763069511141,358.970585211947,NA,NA,NA,NA,NA,NA,0,0.537724388930325
"Aramides cajanea","Gruiformes","Aves",-0.135680000899958,347.393849522218,395.288403655678,NA,NA,NA,1,NA,0,0,0.531912586890718
"Aramides ypecaha","Gruiformes","Aves",-0.156926862795273,665,747.25,NA,NA,NA,NA,NA,0,0,0.51080160490148
