"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Panthera uncia","Mammalia","Carnivora",0.0470252756474671,35266.83478,40343.42527,3.02532511978097,3.01711156741958,"No",994.757,NA,NA,NA,0.767676484229737
"Arctictis binturong","Mammalia","Carnivora",-0.110879600034893,18330.05406,16873.72122,2.06379192334018,2.14318959616701,NA,1586.75,NA,NA,NA,0.752666416958078
"Paradoxurus hermaphroditus","Mammalia","Carnivora",0.243072966394816,3200,4136.52,1.71937029431896,1.53045859000684,"No",583.317,NA,NA,NA,0.598917200571994
"Oryx dammah","Mammalia","Artiodactyla",0.301231611339074,140170.7037,146254.5311,1.9813826146475,2.01505817932923,"No",19498.81815,NA,NA,NA,0.949465354859871
"Eulemur fulvus","Mammalia","Primates",0.0550184826156304,2597.614589,2506.446815,2.04298425735797,2.25270362765229,"No",177.87,"female-only",NA,NA,0.617738482943776
"Oryx gazella","Mammalia","Artiodactyla",0.266555326732631,175407.1152,182341.529,1.99041752224504,2.17248459958932,"No",7276.5,NA,NA,NA,0.782902291110199
"Vulpes vulpes","Mammalia","Carnivora",0.118136576700581,5428.456334,6516.41855,1.00068446269678,0.988364134154689,"Yes",475.568925,"biparental",NA,NA,0.731410863050767
"Capra sibirica","Mammalia","Artiodactyla",0.205431889454173,41693.38432,94168.30902,1.94168377823409,1.97837097878166,"No",2690.4,NA,NA,NA,0.704572401705677
"Eulemur coronatus","Mammalia","Primates",0.0478077467081726,1652.437661,1676.242012,2.05338809034908,2.75208761122519,"No",88.5,NA,NA,NA,0.601669765805423
"Vulpes zerda","Mammalia","Carnivora",-0.0477528206798737,1324.728123,1384.685295,1.25557837097878,1.12799452429843,"No",62.0208,NA,NA,NA,0.754534330757027
"Helarctos malayanus","Mammalia","Carnivora",0.119931676661398,73744.74882,84497.54441,4.85201916495551,5.42203969883641,"No",NA,NA,NA,NA,0.607522376708149
"Macropus fuliginosus","Mammalia","Diprotodontia",0.270486102075072,32969.23308,75414.93542,1.64271047227926,1.93182751540041,"No",0.897165,"female-only",NA,NA,0.79006254434134
"Erethizon dorsatum","Mammalia","Rodentia",-0.0716852210234797,8074.732351,9154.797353,1.24188911704312,1.92580424366872,"No",500,NA,NA,NA,0.662849423729638
"Dama dama","Mammalia","Artiodactyla",0.336631970110238,48233.03205,71631.06073,1.94688569472964,1.96331279945243,"No",4826.9519,"female-only",NA,NA,0.926667242721037
"Mustela putorius","Mammalia","Carnivora",0.0903835876829447,768.5461149,1138.714931,0.856947296372348,0.940177960301164,"No",91.9296,"female-only",NA,NA,0.906934145541179
"Neovison vison","Mammalia","Carnivora",-0.0133340721204037,810.8571429,1431.416667,0.910609171800137,1.015742642,"No",41.1264,"female-only",NA,NA,0.523814705684266
"Taxidea taxus","Mammalia","Carnivora",0.145065548739804,6400,8400,0.612469815,1.207392197,"No",207.57,"female-only",NA,NA,0.50244419193116
"Mephitis mephitis","Mammalia","Carnivora",0.044423869400626,2440.14921,3215.110632,1.00999315537303,0.955509924709103,"No",204.81549,"female-only",NA,NA,0.766582303862261
"Saguinus oedipus","Mammalia","Primates",-0.0327072165524145,588.8754847,552.4572079,2.33921971252567,2.46406570841889,"Yes",75.601,"biparental",NA,NA,0.853077280154409
"Tragelaphus oryx","Mammalia","Artiodactyla",0.304894200973802,365544.8784,470135.0612,2.11362080766598,1.97344284736482,"No",35213.517,NA,NA,NA,0.947570092396026
"Tragelaphus angasii","Mammalia","Artiodactyla",0.397345338608611,68304.80787,127858.4892,1.59890485968515,2.00355920602327,"No",6331.325,"female-only",NA,NA,0.887040977249531
"Macropus agilis","Mammalia","Diprotodontia",0.392168248294244,15128.88312,28001.96779,1.00479123887748,1.25667351129363,"No",1.143288,"female-only",NA,NA,0.677794677330936
"Tragelaphus eurycerus","Mammalia","Artiodactyla",0.223409370763744,221558.9451,312765.2605,2.19137577002053,2.42518822724162,"No",14157,NA,NA,NA,0.838836929188727
"Suricata suricatta","Mammalia","Carnivora",-0.0643911191194714,1058.919058,1076.013432,1.1895961670089,1.4362765229295,"Yes",114.835,"biparental",NA,NA,1
"Callithrix jacchus","Mammalia","Primates",-0.0704327292110396,400.2679097,393.2467379,1.6290212183436,1.66461327857632,"Yes",121.4976,"biparental",NA,NA,0.844749727240965
"Tragelaphus spekii","Mammalia","Artiodactyla",0.378387343198276,54453.30281,109845.4951,1.097878166,NA,"No",4000,NA,NA,NA,0.884693031302962
"Tragelaphus strepsiceros","Mammalia","Artiodactyla",0.371020442609698,168041.6679,266690.3161,2.00958247775496,2.09390828199863,"No",15758.285,"female-only",NA,NA,0.881176820104481
"Chrotogale owstoni","Mammalia","Carnivora",-0.213239075478014,3647.249884,3847.296741,2,2,NA,244.5,NA,NA,NA,0.494096981267903
