Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Panthera uncia,Mammalia,Female,a0,0.913013237,0.102287873,0.71573135,1.119726138
Panthera uncia,Mammalia,Female,a1,9.202820913,0.898962672,7.588215133,11.15641453
Panthera uncia,Mammalia,Female,c,0.022448112,0.003319732,0.016021991,0.028952816
Panthera uncia,Mammalia,Female,b0,-6.980773252,0.442292618,-7.917158669,-6.124097707
Panthera uncia,Mammalia,Female,b1,0.341296443,0.026182241,0.290441866,0.394952084
Panthera uncia,Mammalia,Male,a0,0.979211629,0.100098145,0.782220465,1.171809651
Panthera uncia,Mammalia,Male,a1,9.695016294,0.915747275,8.033595984,11.66869805
Panthera uncia,Mammalia,Male,c,0.031549709,0.003111522,0.025401965,0.037773686
Panthera uncia,Mammalia,Male,b0,-8.085800319,0.52595236,-9.166779036,-7.104509603
Panthera uncia,Mammalia,Male,b1,0.412326443,0.031230468,0.353486804,0.476914978
Arctictis binturong,Mammalia,Female,a0,0.790602071,0.212933895,0.332991642,1.192329721
Arctictis binturong,Mammalia,Female,a1,18.02708151,3.387024385,11.34856553,24.53994484
Arctictis binturong,Mammalia,Female,c,0.019765378,0.003817478,0.012077579,0.027026711
Arctictis binturong,Mammalia,Female,b0,-6.788901605,0.612380962,-8.056732416,-5.675756613
Arctictis binturong,Mammalia,Female,b1,0.28052388,0.033925934,0.217245445,0.349889588
Arctictis binturong,Mammalia,Male,a0,0.133548123,0.242230759,-0.35296528,0.59393201
Arctictis binturong,Mammalia,Male,a1,14.06118628,3.240571167,8.613205724,20.97062014
Arctictis binturong,Mammalia,Male,c,0.016972178,0.004008877,0.008427416,0.024316428
Arctictis binturong,Mammalia,Male,b0,-6.56165192,0.664336846,-7.963149678,-5.34895527
Arctictis binturong,Mammalia,Male,b1,0.244133655,0.034150864,0.180782473,0.314200252
Paradoxurus hermaphroditus,Mammalia,Female,a0,0.748322097,0.31631294,0.106369207,1.350162982
Paradoxurus hermaphroditus,Mammalia,Female,a1,10.56754354,2.700946926,6.083366788,16.58507933
Paradoxurus hermaphroditus,Mammalia,Female,c,0.02591496,0.013363983,0.001911056,0.051135329
Paradoxurus hermaphroditus,Mammalia,Female,b0,-5.409406249,1.401960737,-8.74027519,-3.618965906
Paradoxurus hermaphroditus,Mammalia,Female,b1,0.218686812,0.091220478,0.098072408,0.436128052
Paradoxurus hermaphroditus,Mammalia,Male,a0,1.876425546,0.220614109,1.423934084,2.290353511
Paradoxurus hermaphroditus,Mammalia,Male,a1,15.39983747,2.767189777,10.49716338,21.36567147
Paradoxurus hermaphroditus,Mammalia,Male,c,0.026585839,0.01304737,0.002443463,0.050790424
Paradoxurus hermaphroditus,Mammalia,Male,b0,-5.422050832,1.117728107,-8.088226926,-3.793923484
Paradoxurus hermaphroditus,Mammalia,Male,b1,0.244791516,0.073883451,0.130805913,0.419323557
