Species,Class,Sex,Parameter,Mean,SD,Lower,Upper
Panthera uncia,Mammalia,Female,a0,-3.791189838,0.617702971,-5.091717706,-2.657152837
Panthera uncia,Mammalia,Female,a1,5.518243712,3.268250897,0.555422745,12.83162106
Panthera uncia,Mammalia,Female,c,0.021066516,0.005158109,0.009983459,0.030181673
Panthera uncia,Mammalia,Female,b0,-5.870990162,0.42092425,-6.754935631,-5.103793531
Panthera uncia,Mammalia,Female,b1,0.336064613,0.029666954,0.281288,0.398398373
Panthera uncia,Mammalia,Male,a0,-3.269054388,0.605627194,-4.573195999,-2.17749207
Panthera uncia,Mammalia,Male,a1,6.087372709,2.953235241,1.535095745,12.93044863
Panthera uncia,Mammalia,Male,c,0.026745433,0.004467222,0.017780364,0.035379744
Panthera uncia,Mammalia,Male,b0,-6.478673834,0.469509446,-7.423133201,-5.617822645
Panthera uncia,Mammalia,Male,b1,0.388025765,0.033706061,0.325378883,0.455156702
Arctictis binturong,Mammalia,Female,a0,-3.427155917,0.673899849,-4.798370024,-2.176767429
Arctictis binturong,Mammalia,Female,a1,6.34600047,3.260174478,0.756372528,13.55381109
Arctictis binturong,Mammalia,Female,c,0.012234236,0.005159014,0.002154237,0.022147849
Arctictis binturong,Mammalia,Female,b0,-5.641638197,0.540396188,-6.765618045,-4.684710749
Arctictis binturong,Mammalia,Female,b1,0.249788626,0.033669307,0.189575516,0.318589523
Arctictis binturong,Mammalia,Male,a0,-3.673948955,0.659678542,-5.017882445,-2.439902541
Arctictis binturong,Mammalia,Male,a1,6.217059973,3.376734891,0.720693861,13.64260298
Arctictis binturong,Mammalia,Male,c,0.010852564,0.00517063,0.001198375,0.020809766
Arctictis binturong,Mammalia,Male,b0,-5.545305477,0.556838455,-6.750920524,-4.624301947
Arctictis binturong,Mammalia,Male,b1,0.218486617,0.031814952,0.162492729,0.285612605
Paradoxurus hermaphroditus,Mammalia,Female,a0,-2.971197597,0.768143208,-4.543725978,-1.527399414
Paradoxurus hermaphroditus,Mammalia,Female,a1,5.696787898,3.105497482,0.705080761,12.57810082
Paradoxurus hermaphroditus,Mammalia,Female,c,0.025497187,0.014315729,0.001600286,0.053693571
Paradoxurus hermaphroditus,Mammalia,Female,b0,-5.037967898,1.231635323,-8.146602491,-3.457535838
Paradoxurus hermaphroditus,Mammalia,Female,b1,0.215621892,0.087521566,0.094355467,0.432457324
Paradoxurus hermaphroditus,Mammalia,Male,a0,-2.741543517,0.747639327,-4.287160665,-1.378565789
Paradoxurus hermaphroditus,Mammalia,Male,a1,5.728510062,3.095237081,1.000526409,12.78745422
Paradoxurus hermaphroditus,Mammalia,Male,c,0.020929188,0.013370734,0.001072114,0.049431896
Paradoxurus hermaphroditus,Mammalia,Male,b0,-4.755461411,0.899453711,-6.97667043,-3.556645299
Paradoxurus hermaphroditus,Mammalia,Male,b1,0.226393866,0.06595001,0.128626743,0.383879183
Oryx dammah,Mammalia,Female,a0,-3.888625946,0.564560604,-5.123057127,-2.912441082
Oryx dammah,Mammalia,Female,a1,6.893539465,3.17929682,1.286925011,14.09949623
Oryx dammah,Mammalia,Female,c,0.026391842,0.003873838,0.019712838,0.031895993
Oryx dammah,Mammalia,Female,b0,-6.056913636,0.323616456,-6.734539336,-5.457108268
Oryx dammah,Mammalia,Female,b1,0.311312872,0.021628268,0.270470609,0.356209354
Oryx dammah,Mammalia,Male,a0,-3.556808305,0.617552978,-4.874752465,-2.462363845
